GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US47001,47001,"Anderson County, Tennessee",30518,549,20083,649,14616,579,10435,727,7.2,1.0,4.9,1.1,1.7,0.7,13.5,2.3,5.9,0.9,4.0,0.8,2.5,0.9,10.1,2.0,14.0,1.4,8.6,1.4,4.4,1.0,24.9,2.8,11.7,1.3,8.9,1.4,7.5,1.5,16.2,2.7,13.3,1.4,14.1,1.6,12.2,1.8,11.4,2.0,17.7,1.5,20.4,1.9,22.6,2.5,12.3,2.0,11.6,1.3,14.4,1.6,17.0,2.1,5.8,1.5,10.9,1.2,14.8,1.6,19.1,2.0,2.8,0.8,4.7,0.7,6.0,0.9,8.0,1.2,2.1,0.9,2.9,0.4,3.9,0.6,5.0,0.8,0.9,0.5,47206,2109,59094,2557,73755,3591,25763,1502,65165,3079,77684,4180,91829,5178,39242,3488,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.0,(X)
0500000US47003,47003,"Bedford County, Tennessee",17058,323,12574,374,9202,471,4484,419,8.0,1.6,5.6,1.9,2.0,1.2,15.2,3.8,4.7,1.2,3.0,1.2,1.7,1.0,10.8,3.4,12.7,2.0,9.9,2.2,5.3,1.8,22.1,3.8,11.4,1.6,11.4,1.8,10.1,2.3,13.3,3.5,16.3,2.1,16.5,2.5,16.2,2.7,13.7,3.0,21.5,2.3,23.0,2.7,26.3,3.3,16.2,3.9,12.0,2.1,14.1,2.7,17.2,3.3,5.1,2.3,8.6,1.4,10.6,1.8,13.8,2.1,2.0,1.5,2.3,0.8,2.8,1.0,3.4,1.3,0.9,1.0,2.5,0.8,3.1,1.0,3.9,1.4,0.8,0.9,47117,2721,51980,1912,62680,4920,26073,2850,61249,3935,68331,4543,N,N,38114,5831,38.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X)
0500000US47005,47005,"Benton County, Tennessee",6693,240,4007,247,3049,242,2686,241,13.2,2.4,6.6,2.0,2.6,1.4,25.9,5.5,8.2,1.9,4.9,1.9,3.6,2.1,13.8,3.4,15.9,3.2,13.3,3.7,12.0,3.5,19.0,4.6,13.9,2.4,13.3,3.4,12.5,3.4,14.3,3.5,14.1,2.3,13.4,2.7,12.9,3.0,13.9,4.2,16.9,2.3,23.3,3.3,25.4,4.5,6.6,2.7,8.3,1.5,12.1,2.3,15.0,3.1,2.8,1.5,5.8,1.6,8.6,2.4,10.5,3.0,1.7,1.3,2.0,0.8,2.3,0.9,3.0,1.2,1.2,1.2,1.7,0.8,2.2,1.2,2.5,1.3,0.8,0.8,33702,3317,48109,4476,55432,3210,18341,2982,47915,2943,58912,3947,N,N,29736,3587,34.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.6,(X)
0500000US47007,47007,"Bledsoe County, Tennessee",4664,201,3471,235,2854,210,1193,176,8.9,2.3,5.0,2.0,1.3,1.2,22.0,6.6,8.3,2.3,4.3,2.0,4.0,2.1,18.6,6.9,15.2,3.6,12.9,4.0,10.9,4.3,21.7,8.3,11.3,2.6,12.3,3.1,12.8,3.7,9.2,4.3,16.2,3.3,15.8,3.6,15.6,4.5,19.7,7.3,17.4,3.1,21.1,4.0,22.3,4.6,4.8,3.3,10.0,3.0,12.6,4.0,14.9,4.7,1.7,1.5,7.4,2.4,9.8,3.2,11.9,3.8,0.0,2.9,2.2,1.4,2.5,1.7,2.1,1.6,1.3,2.1,3.1,1.7,3.8,2.3,4.3,2.6,1.0,1.2,40450,2756,49375,7274,55867,8360,20252,3500,56397,5962,64407,7057,N,N,31681,9953,34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X)
0500000US47009,47009,"Blount County, Tennessee",49939,618,34014,815,27065,755,15925,763,6.3,0.9,3.9,0.8,1.4,0.5,13.4,2.0,5.3,0.7,2.4,0.5,1.2,0.4,11.3,2.0,11.3,0.9,8.0,1.2,6.0,1.0,19.2,1.9,12.0,1.1,9.7,1.1,7.4,1.0,16.6,2.1,14.0,1.0,13.6,1.4,12.8,1.5,14.9,2.0,19.7,1.5,22.2,1.8,23.6,2.0,13.4,1.8,12.9,1.1,15.8,1.5,18.4,1.8,5.6,1.2,11.1,1.0,14.4,1.5,17.5,1.8,4.0,0.9,4.1,0.5,5.4,0.8,6.4,0.9,0.9,0.5,3.4,0.5,4.6,0.7,5.3,0.9,0.8,0.4,51172,1719,63557,1672,72380,2954,28419,1736,70156,2952,83402,4084,92425,4898,39661,2596,34.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
0500000US47011,47011,"Bradley County, Tennessee",39615,555,27334,624,20797,690,12281,697,7.5,0.9,4.7,0.8,1.5,0.4,15.3,2.5,6.1,0.8,4.0,0.8,2.5,0.8,11.6,1.9,12.2,1.1,9.5,1.3,5.9,1.0,17.8,2.2,11.9,1.2,9.7,1.3,8.5,1.4,16.6,2.5,15.7,1.5,16.2,2.0,16.9,2.1,15.2,2.1,18.6,1.5,19.9,2.0,21.4,2.1,14.8,2.4,11.4,1.3,14.0,1.6,16.9,2.0,5.5,1.5,10.9,1.1,14.8,1.5,17.4,1.7,2.0,0.8,3.3,0.6,4.2,1.1,5.0,1.2,0.2,0.2,2.5,0.5,3.0,0.6,3.8,0.8,1.1,0.9,46381,2205,56944,2613,66293,3064,28045,1333,64083,2678,73795,3221,84277,3984,39011,4068,36.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.1,(X)
0500000US47013,47013,"Campbell County, Tennessee",15843,375,11070,453,8108,441,4773,373,12.1,1.8,6.6,1.6,2.0,0.9,27.3,4.2,9.5,1.4,5.2,1.4,3.1,1.2,19.4,3.3,14.4,1.8,13.1,1.9,11.1,2.2,17.3,3.6,13.4,1.6,14.8,2.0,14.0,2.4,11.6,2.8,15.3,2.2,16.8,2.6,15.8,3.1,12.4,3.4,15.1,1.9,17.5,2.5,20.6,3.1,6.9,2.5,10.5,1.6,14.2,2.2,18.0,3.0,1.8,1.4,6.3,1.0,8.2,1.3,10.8,1.8,0.9,0.6,1.7,0.6,1.6,0.7,2.2,0.9,1.7,1.7,1.6,0.6,2.0,0.8,2.5,1.0,0.6,0.4,35377,1746,44074,2587,53980,3453,16752,2548,51141,3831,59237,4972,N,N,29699,4298,28.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.0,(X)
0500000US47015,47015,"Cannon County, Tennessee",5456,159,3809,191,2793,222,1647,195,8.6,2.3,5.7,2.6,3.3,2.4,17.1,5.2,5.9,1.8,4.3,2.1,3.4,1.9,11.0,4.0,12.8,3.1,7.8,2.6,5.3,2.5,22.5,7.2,11.7,2.6,11.4,3.6,11.0,4.1,15.1,4.7,13.5,2.6,12.8,3.1,11.2,3.2,13.0,3.7,20.2,2.6,24.3,3.5,27.1,4.4,8.8,4.1,15.5,3.2,20.6,4.4,24.1,4.8,3.0,2.5,8.0,2.3,8.1,2.7,10.2,3.4,8.6,5.0,1.9,1.0,2.4,1.3,2.6,1.6,0.0,2.1,2.0,1.2,2.5,1.6,1.7,1.4,0.8,1.3,47457,3713,57462,5164,64931,4264,24785,2781,61152,8978,63609,4111,N,N,53237,28435,39.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X)
0500000US47017,47017,"Carroll County, Tennessee",11321,297,7584,339,5665,362,3737,328,11.3,2.0,6.2,2.0,2.8,1.7,22.0,4.1,7.8,1.4,5.1,1.8,4.0,2.0,13.9,3.5,15.2,2.1,9.7,2.3,7.4,1.9,26.4,4.6,11.9,1.7,11.4,2.0,9.2,1.9,13.9,4.0,15.3,2.0,16.8,2.5,16.5,2.8,11.5,2.8,17.7,2.4,22.0,3.1,23.8,3.2,8.2,2.3,10.4,1.6,14.5,2.1,18.2,2.7,2.0,1.1,8.2,1.5,11.5,2.1,14.6,2.8,1.2,0.9,0.7,0.4,0.7,0.4,1.0,0.5,0.6,1.0,1.5,0.8,2.2,1.2,2.6,1.5,0.2,0.2,38201,2475,52139,5320,61805,3247,19388,1417,50378,3085,61989,4312,N,N,26052,2254,35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.6,(X)
0500000US47019,47019,"Carter County, Tennessee",23798,438,15731,487,11406,500,8067,515,11.3,1.4,7.6,1.6,2.9,1.1,21.4,2.9,9.6,1.3,4.7,1.1,3.5,1.1,18.3,2.6,16.1,1.7,13.5,1.9,10.1,2.1,21.6,2.6,13.4,1.4,12.1,1.8,11.1,1.6,16.0,2.4,15.5,1.5,17.6,1.9,18.7,2.2,10.6,2.2,17.5,1.4,22.3,1.9,25.2,2.4,8.5,1.8,8.0,1.1,10.7,1.6,13.7,2.1,1.6,0.6,5.7,0.9,7.6,1.3,9.6,1.7,1.6,0.9,1.7,0.5,2.6,0.8,3.6,1.1,0.0,0.4,1.0,0.4,1.3,0.4,1.6,0.6,0.4,0.4,34625,1665,43898,2212,53021,3628,18839,1341,48334,2603,57948,3578,N,N,27793,3381,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X)
0500000US47021,47021,"Cheatham County, Tennessee",14671,235,10631,321,8291,367,4040,314,5.4,1.6,2.9,1.0,1.7,0.7,13.2,4.4,2.4,0.7,1.4,0.6,1.2,0.8,5.4,2.2,11.0,1.9,8.4,1.8,6.0,1.9,19.0,4.6,10.7,1.8,8.6,1.6,6.7,1.7,16.4,4.5,14.4,2.0,13.4,2.4,12.0,2.2,16.5,3.8,21.6,2.2,22.6,2.5,22.3,2.6,20.0,4.3,14.5,1.9,18.3,2.5,21.0,2.8,4.2,1.9,14.4,1.8,17.4,2.3,20.3,2.8,4.0,1.6,3.4,0.8,4.4,1.0,5.5,1.3,0.7,0.7,2.2,0.7,2.6,0.9,3.3,1.2,0.6,0.7,56150,3116,68399,2612,75123,2918,33483,2132,67219,2604,76480,3348,N,N,39566,3572,35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.2,(X)
0500000US47023,47023,"Chester County, Tennessee",5998,251,4545,246,3356,261,1453,234,6.7,1.8,4.7,1.9,2.5,1.6,14.0,6.1,8.3,2.8,5.0,2.6,3.0,2.4,18.1,7.3,11.8,3.0,10.2,3.1,8.0,2.9,16.7,7.3,12.9,3.2,11.0,3.7,12.5,4.7,21.9,6.0,14.1,3.3,16.5,4.2,14.1,4.1,9.6,4.2,20.6,3.7,22.8,4.3,24.7,5.6,12.2,6.2,12.8,3.2,14.8,3.9,15.2,4.2,3.7,3.7,7.6,2.5,8.3,2.8,11.1,3.8,3.3,3.0,3.7,1.6,4.9,2.1,6.6,2.8,0.0,2.4,1.5,1.2,1.8,1.6,2.1,2.0,0.4,0.7,43740,6015,51852,3779,55517,4091,25417,5323,56470,4490,63039,5681,N,N,32464,4743,29.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.7,(X)
0500000US47025,47025,"Claiborne County, Tennessee",12996,307,8822,398,6512,392,4174,399,15.2,2.0,8.5,2.3,4.3,1.7,31.3,4.6,8.3,1.5,6.0,1.8,3.3,1.5,14.4,3.6,14.4,2.0,11.1,2.2,10.3,2.4,21.0,3.7,11.3,1.9,11.3,2.3,9.9,2.3,9.3,2.9,16.1,1.8,18.7,2.5,18.0,3.2,10.7,3.2,17.4,2.2,22.2,3.1,26.6,3.6,7.6,2.1,9.0,1.4,10.8,2.1,13.4,2.7,3.9,2.0,5.4,1.2,7.3,1.7,9.6,2.1,1.4,1.3,1.2,0.5,1.8,0.8,2.1,0.9,0.0,0.8,1.6,0.7,2.2,0.9,2.6,1.1,0.4,0.5,35428,1980,45217,2855,52556,2228,16627,1902,47443,2888,56263,3415,N,N,27539,4395,28.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X)
0500000US47027,47027,"Clay County, Tennessee",3171,211,2168,203,1728,198,1003,160,14.2,3.6,9.8,3.7,5.8,3.7,24.8,9.0,10.3,3.2,3.7,2.6,1.4,1.4,24.5,7.4,19.0,4.8,18.2,5.4,16.6,7.0,20.7,7.2,11.1,2.9,11.7,3.3,12.6,4.0,12.0,4.8,12.9,3.4,16.4,4.9,17.3,6.0,4.8,4.2,18.6,4.1,23.5,5.3,26.3,6.6,6.4,5.3,5.0,2.2,5.6,2.8,7.1,3.5,2.6,2.9,8.1,3.0,9.9,4.1,11.5,5.1,4.2,4.9,0.7,0.8,1.0,1.2,1.2,1.5,0.0,3.4,0.1,0.2,0.2,0.4,0.2,0.5,0.0,3.4,30801,3356,41056,4917,44229,6948,15229,3496,41009,3688,48182,4946,N,N,23967,5828,38.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),42.2,(X)
0500000US47029,47029,"Cocke County, Tennessee",14592,394,9383,459,6289,460,5209,466,13.2,2.5,9.9,2.7,5.3,2.1,20.0,4.3,10.4,2.0,6.8,2.0,3.1,1.6,17.5,4.2,17.1,2.3,14.3,2.6,12.4,2.7,22.8,4.8,12.7,2.3,13.1,2.9,12.1,2.9,12.1,3.6,13.4,1.8,14.5,2.4,13.7,2.6,11.9,3.0,14.0,1.9,15.7,2.8,19.8,3.7,9.9,2.7,11.6,2.1,15.9,2.9,20.2,3.9,2.7,1.5,5.6,1.4,7.3,1.9,9.7,2.8,2.3,1.7,1.0,0.5,1.3,0.7,2.0,1.0,0.4,0.7,0.9,0.4,1.1,0.6,1.7,0.9,0.3,0.4,32027,2163,41445,4064,55139,5692,20875,1269,45912,3020,54040,3791,N,N,29705,3794,29.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X)
0500000US47031,47031,"Coffee County, Tennessee",21576,391,14508,513,11377,472,7068,513,7.1,1.2,4.2,1.1,1.3,0.7,14.7,2.8,5.5,1.2,2.9,1.2,2.2,1.0,12.2,2.9,13.6,1.7,9.0,1.9,6.3,1.9,23.0,3.8,9.9,1.4,9.3,1.5,7.9,1.4,12.3,2.9,18.2,1.8,18.8,2.0,18.0,2.1,16.5,3.7,19.6,2.1,22.0,2.7,24.3,3.3,13.2,3.1,12.1,1.3,14.8,1.9,17.1,2.3,5.4,1.7,9.3,1.2,12.4,1.6,14.5,2.0,1.9,1.2,2.3,0.5,3.2,0.8,4.1,1.0,0.3,0.4,2.5,0.8,3.5,1.2,4.2,1.5,0.6,0.5,46614,1450,57262,2554,65823,3865,25084,2382,62109,3379,74506,5245,N,N,33992,2431,39.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X)
0500000US47033,47033,"Crockett County, Tennessee",5400,157,3436,185,2558,186,1964,177,8.4,2.0,4.1,1.7,2.8,1.9,16.3,4.2,6.7,1.6,2.3,1.0,0.7,0.5,16.8,4.0,15.7,2.4,11.6,2.8,7.4,2.6,23.7,4.7,14.4,2.1,12.1,2.3,8.5,2.3,17.1,4.3,16.2,2.3,19.0,3.5,19.2,4.0,11.5,3.9,16.4,2.3,20.5,3.3,22.8,3.8,9.2,3.1,10.8,2.0,14.4,2.7,18.1,3.5,2.2,1.8,8.0,1.6,11.1,2.5,14.3,3.4,2.5,1.4,1.8,0.8,2.8,1.2,3.7,1.6,0.0,1.8,1.6,0.7,2.1,1.0,2.4,1.2,0.7,0.7,39692,4450,50599,2467,60849,3134,22020,2164,53075,3342,63580,3603,N,N,33109,6282,38.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X)
0500000US47035,47035,"Cumberland County, Tennessee",25114,425,17418,511,13423,503,7696,471,7.3,1.1,4.7,1.2,2.0,0.8,15.8,2.8,6.9,0.9,3.7,1.0,2.1,0.9,14.5,2.5,14.6,1.7,11.4,1.9,8.8,1.7,22.9,3.7,13.4,1.3,12.4,1.5,10.9,1.7,16.3,2.7,17.7,1.7,18.3,2.0,19.3,2.3,14.4,3.0,18.1,1.6,21.8,2.0,23.8,2.2,8.3,1.7,10.5,1.1,13.2,1.6,16.2,1.8,3.7,1.4,7.2,1.0,9.3,1.3,10.7,1.6,2.8,1.7,2.5,0.5,3.3,0.8,3.8,0.8,0.9,0.7,1.7,0.6,1.9,0.7,2.5,0.8,0.3,0.3,40994,1588,49230,3231,55952,1958,23681,1451,54046,2148,62318,2943,N,N,32468,2493,32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X)
0500000US47037,47037,"Davidson County, Tennessee",273497,1378,153909,2129,103219,1815,119588,2012,6.9,0.3,4.6,0.4,1.3,0.2,10.5,0.6,4.4,0.3,3.0,0.3,1.4,0.2,6.7,0.5,9.9,0.4,8.4,0.5,4.7,0.4,12.7,0.7,10.2,0.4,8.9,0.5,6.5,0.5,12.5,0.7,14.9,0.5,12.9,0.7,11.0,0.7,17.6,0.7,19.3,0.5,19.2,0.7,19.1,0.8,18.7,0.9,12.3,0.5,13.8,0.7,16.6,0.9,9.7,0.6,12.2,0.4,15.3,0.7,20.0,0.9,7.5,0.5,4.6,0.3,6.4,0.5,8.5,0.6,2.1,0.3,5.2,0.3,7.6,0.4,10.7,0.5,2.0,0.3,53419,741,65272,1222,83380,1421,41018,791,77020,1155,92951,1626,114064,2351,54150,1150,36.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X)
